,Unique_Key,DATE,TIME,BOROUGH,Zip_Code,LATITUDE,LONGITUDE
125,3591189,2017-01-01,15:30,BROOKLYN,11234.0,40.6114632,-73.92436490000001
126,3590270,2017-01-01,15:30,QUEENS,11413.0,40.6633664,-73.7638239
128,3590188,2017-01-01,15:35,QUEENS,11434.0,40.6679631,-73.7715434
129,3590162,2017-01-01,15:35,QUEENS,11375.0,40.7269695,-73.853746
130,3590389,2017-01-01,15:40,BRONX,10452.0,40.845177500000005,-73.9141598
134,3590716,2017-01-01,15:45,MANHATTAN,10013.0,40.7180266,-74.0030447
136,3591351,2017-01-01,16:00,MANHATTAN,10011.0,40.7404705,-73.9982859
137,3590296,2017-01-01,16:00,QUEENS,11375.0,40.72363789999999,-73.83966509999999
138,3590938,2017-01-01,16:00,BRONX,10453.0,40.8504784,-73.91542530000001
139,3590545,2017-01-01,16:00,MANHATTAN,10017.0,40.751861700000006,-73.977074
140,3593895,2017-01-01,16:00,BROOKLYN,11230.0,40.61998320000001,-73.96426690000001
141,3590421,2017-01-01,16:00,STATEN ISLAND,10307.0,40.510386600000004,-74.248165
144,3590923,2017-01-01,16:15,MANHATTAN,10027.0,40.807772299999996,-73.94548329999999
147,3597190,2017-01-01,16:23,BROOKLYN,11201.0,40.696034600000004,-73.9845292
148,3591150,2017-01-01,16:30,QUEENS,11691.0,40.6015424,-73.7469552
149,3590942,2017-01-01,16:30,BROOKLYN,11201.0,40.6982463,-73.9805437
150,3591352,2017-01-01,16:30,MANHATTAN,10036.0,40.76082279999999,-73.9983142
151,3590423,2017-01-01,16:35,BRONX,10458.0,40.854418,-73.8875319
152,3592060,2017-01-01,16:40,BROOKLYN,11215.0,40.667433,-73.9778167
155,3591236,2017-01-01,17:00,MANHATTAN,10028.0,40.774291999999996,-73.9512622
156,3590300,2017-01-01,17:00,BRONX,10475.0,40.869428799999994,-73.8257368
157,3590648,2017-01-01,17:10,QUEENS,11421.0,40.6864472,-73.85484090000001
158,3590546,2017-01-01,17:15,MANHATTAN,10018.0,40.7509929,-73.9847439
160,3591876,2017-01-01,17:20,MANHATTAN,10018.0,40.7589782,-73.9939358
161,3590175,2017-01-01,17:20,QUEENS,11374.0,40.726176200000005,-73.8648853
163,3591221,2017-01-01,17:20,BROOKLYN,11234.0,40.614457,-73.91538940000001
165,3590290,2017-01-01,17:25,QUEENS,11435.0,40.6970919,-73.8033883
166,3590628,2017-01-01,17:26,BRONX,10472.0,40.833770200000004,-73.8773762
167,3590861,2017-01-01,17:30,QUEENS,11416.0,40.68541,-73.84061159999999
169,3590266,2017-01-01,17:30,BROOKLYN,11203.0,40.6544804,-73.9345912
170,3590473,2017-01-01,17:32,BROOKLYN,11215.0,40.66831,-73.987971
171,3590381,2017-01-01,17:37,STATEN ISLAND,10310.0,40.626636100000006,-74.12858359999998
173,3591371,2017-01-01,17:45,BRONX,10461.0,40.836793799999995,-73.846678
174,3591910,2017-01-01,17:45,BROOKLYN,11216.0,40.687246200000004,-73.9546828
175,3591821,2017-01-01,17:50,BROOKLYN,11214.0,40.6063279,-73.99646340000001
177,3590884,2017-01-01,17:58,MANHATTAN,10065.0,40.75991,-73.95881999999999
178,3590913,2017-01-01,18:00,MANHATTAN,10001.0,40.7486579,-73.99231259999999
181,3590291,2017-01-01,18:00,QUEENS,11104.0,40.7432641,-73.9196285
183,3592536,2017-01-01,18:10,BROOKLYN,11207.0,40.670626500000004,-73.89554179999999
184,3591535,2017-01-01,18:15,QUEENS,11423.0,40.7173011,-73.7746498
185,3591222,2017-01-01,18:30,BROOKLYN,11210.0,40.6256,-73.93916
186,3594316,2017-01-01,18:30,BROOKLYN,11212.0,40.66077,-73.91975
187,3590299,2017-01-01,18:30,QUEENS,11433.0,40.691584399999996,-73.79318149999999
188,3592547,2017-01-01,18:30,QUEENS,11385.0,40.7012336,-73.8788354
189,3590561,2017-01-01,18:40,MANHATTAN,10001.0,40.7477379,-73.98684870000001
190,3592624,2017-01-01,18:44,BROOKLYN,11201.0,40.696197,-73.98876290000001
194,3591077,2017-01-01,18:55,MANHATTAN,10002.0,40.7131975,-73.98388320000001
195,3590460,2017-01-01,19:00,QUEENS,11420.0,40.6678986,-73.8168442
196,3591215,2017-01-01,19:00,BROOKLYN,11207.0,40.686510600000005,-73.91209609999999
197,3590808,2017-01-01,19:00,BROOKLYN,11209.0,40.627471299999996,-74.0345411
200,3591320,2017-01-01,19:15,BRONX,10459.0,40.8267875,-73.8909065
203,3590334,2017-01-01,19:28,STATEN ISLAND,10305.0,40.5830447,-74.0961705
204,3591308,2017-01-01,19:30,BROOKLYN,11230.0,40.6299872,-73.97156770000001
206,3590275,2017-01-01,19:30,BROOKLYN,11212.0,40.657845,-73.9208163
211,3590255,2017-01-01,19:45,BROOKLYN,11203.0,40.651375200000004,-73.9380791
212,3602559,2017-01-01,19:45,BROOKLYN,11203.0,40.634945,-73.9325
213,3590274,2017-01-01,19:45,QUEENS,11375.0,40.724301399999995,-73.8451618
214,3590324,2017-01-01,19:49,BROOKLYN,11238.0,40.683043700000006,-73.97082759999999
