UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3590298,1/1/2017,12:00,QUEENS,11101,40.7433055,-73.9376508,"(40.7433055, -73.9376508)",30 STREET,47 AVENUE,,0
3590416,1/1/2017,12:10,BRONX,10458,40.8558629,-73.8946183,"(40.8558629, -73.8946183)",EAST 183 STREET,PARK AVENUE,,0
3592939,1/1/2017,12:10,BROOKLYN,11223,40.5969788,-73.9732382,"(40.5969788, -73.9732382)",MC DONALD AVENUE,AVENUE U,,0
3590691,1/1/2017,12:16,MANHATTAN,10065,40.7608574,-73.9610689,"(40.7608574, -73.9610689)",EAST 61 STREET,1 AVENUE,,0
3591245,1/1/2017,12:21,,,,,,,,,0
3590161,1/1/2017,12:30,,,,,,FLATBUSH AVENUE,,,0
3590934,1/1/2017,12:30,MANHATTAN,10018,40.7546936,-73.9935247,"(40.7546936, -73.9935247)",,,350       WEST 37 STREET,0
3591087,1/1/2017,12:30,,,40.7118605,-73.9780625,"(40.7118605, -73.9780625)",,,,0
3590448,1/1/2017,12:34,QUEENS,11385,40.7030131,-73.8823955,"(40.7030131, -73.8823955)",,,71-50     69 PLACE,0
3590312,1/1/2017,12:35,,,,,,PELL STREET,,,0
3590455,1/1/2017,12:50,,,40.6654811,-73.8168967,"(40.6654811, -73.8168967)",,,,4
3590065,1/1/2017,12:55,BROOKLYN,11201,40.6892445,-73.9887208,"(40.6892445, -73.9887208)",STATE STREET,SMITH STREET,,0
3590182,1/1/2017,13:00,QUEENS,11434,40.6833902,-73.7925831,"(40.6833902, -73.7925831)",SUTPHIN BOULEVARD,115 DRIVE,,0
3592263,1/1/2017,13:00,,,40.6794414,-73.8971296,"(40.6794414, -73.8971296)",,,,0
3590370,1/1/2017,13:02,STATEN ISLAND,10304,40.6235876,-74.0827706,"(40.6235876, -74.0827706)",BROAD STREET,GORDON STREET,,0
3590702,1/1/2017,13:10,MANHATTAN,10010,40.7379904,-73.9808388,"(40.7379904, -73.9808388)",,,401       2 AVENUE,3
3593957,1/1/2017,13:15,,,,,,DOUGLASTON PARKWAY,HORACE HARDING EXPRESSWAY,,1
3590187,1/1/2017,13:15,,,,,,BEDELL STREET,,,0
3594364,1/1/2017,13:15,BROOKLYN,11236,40.6516531,-73.9173712,"(40.6516531, -73.9173712)",EAST 91 STREET,AVENUE A,,0
3590801,1/1/2017,13:25,BROOKLYN,11209,40.6346743,-74.0323795,"(40.6346743, -74.0323795)",,,7204      COLONIAL ROAD,0
3590156,1/1/2017,13:30,QUEENS,11354,40.7663085,-73.8196963,"(40.7663085, -73.8196963)",35 AVENUE,147 STREET,,0
3590122,1/1/2017,13:36,BRONX,10469,40.8830204,-73.8532436,"(40.8830204, -73.8532436)",EAST 222 STREET,PAULDING AVENUE,,2
3591370,1/1/2017,13:40,,,,,,,,,0
3590471,1/1/2017,13:40,QUEENS,11420,40.6713732,-73.8254721,"(40.6713732, -73.8254721)",114 PLACE,135 AVENUE,,1
3590121,1/1/2017,13:40,BRONX,10466,40.8966893,-73.8451038,"(40.8966893, -73.8451038)",PITMAN AVENUE,BAYCHESTER AVENUE,,1
3590804,1/1/2017,13:43,BROOKLYN,11228,,,,10 AVENUE,73 STREET,,0
3590315,1/1/2017,13:45,MANHATTAN,10013,40.7194566,-73.9943975,"(40.7194566, -73.9943975)",BROOME STREET,BOWERY,,0
3590157,1/1/2017,13:45,,,,,,LATIMER PLACE,,,0
3591514,1/1/2017,13:50,BROOKLYN,11232,40.6459819,-73.9986343,"(40.6459819, -73.9986343)",,,4123      8 AVENUE,0
3590066,1/1/2017,13:54,,,,,,SOUTH GANNON AVENUE,,,0
3590743,1/1/2017,13:55,,,,,,JEROME AVENUE,,,0
3590179,1/1/2017,14:00,QUEENS,11428,40.7193066,-73.7355124,"(40.7193066, -73.7355124)",,,94-80     SPRINGFIELD BOULEVARD,0
3590350,1/1/2017,14:00,,,,,,68 STREET,,,0
3590314,1/1/2017,14:00,,,,,,PEARL STREET,,,0
3590646,1/1/2017,14:00,,,,,,,,,0
3594340,1/1/2017,14:00,BROOKLYN,11203,40.6385252,-73.9260638,"(40.6385252, -73.9260638)",KINGS HIGHWAY,FARRAGUT ROAD,,0
3590372,1/1/2017,14:00,BROOKLYN,11220,40.6468531,-74.0192539,"(40.6468531, -74.0192539)",2 AVENUE,54 STREET,,0
3590602,1/1/2017,14:00,BROOKLYN,11236,40.638351,-73.9088843,"(40.638351, -73.9088843)",EAST 86 STREET,FLATLANDS AVENUE,,0
